pod_name,assign_time_ms,node_name
busybox-0,0,node-0
busybox-1,0,node-0
busybox-2,0,node-0
busybox-3,0,node-0
busybox-4,0,node-0
busybox-5,0,node-1
busybox-6,0,node-1
busybox-7,0,node-1
busybox-8,0,node-1
busybox-9,0,node-1
busybox-10,0,node-2
busybox-11,0,node-2
busybox-12,0,node-2
busybox-13,0,node-2
busybox-14,0,node-2
busybox-15,0,node-3
busybox-16,0,node-3
busybox-17,0,node-3
busybox-18,0,node-3
busybox-19,0,node-3
busybox-20,0,node-4
busybox-21,0,node-4
busybox-22,0,node-4
busybox-23,0,node-4
busybox-24,0,node-4
